"fileID,f1,f2,vot,notes"
ne01_kaka,861.17,1653.68,41.95,
ne01_kaka1,943.60,1787.39,37.01,
ne01_kaka2,1069.77,1766.59,40.95,
ne01_keke,470.71,2483.29,51.17,
ne01_keke1,603.93,2473.95,39.16,
ne01_keke2,491.03,2656.16,33.65,
ne01_kiki,343.87,2845.10,45.01,
ne01_kiki1,961.77,2267.28,57.56,
ne01_kiki2,438.63,2780.36,50.62,
ne01_koko,665.53,1081.08,56.16,
ne01_koko1,577.76,1062.46,38.98,
ne01_koko2,650.94,1103.14,44.98,
ne01_kuku,487.59,1102.10,65.26,
ne01_kuku1,443.83,1011.40,65.66,
ne01_kuku2,1079.50,2113.68,62.57,
ne01_paka,756.91,1498.74,27.30,
ne01_paka1,804.25,1543.85,22.46,
ne01_paka2,849.94,1654.32,17.31,
ne01_peke,390.00,2672.48,13.91,
ne01_peke1,380.06,2666.86,26.02,
ne01_peke2,552.83,2516.79,17.19,
ne01_piki,400.07,2854.29,19.64,
ne01_piki1,419.65,2864.54,16.78,
ne01_piki2,376.24,2921.70,23.47,
ne01_poko,518.63,1082.12,34.50,
ne01_poko1,577.42,1155.83,29.37,
ne01_poko2,504.63,1051.85,27.04,
ne01_puku,422.79,1061.62,33.14,
ne01_puku1,448.39,1067.11,56.35,
ne01_puku2,469.96,1018.15,63.99,
ne01_taka,885.06,1701.72,22.38,
ne01_taka1,1209.94,1785.42,23.42,
ne01_taka2,926.77,1732.30,17.01,
ne01_teke,518.33,2459.01,26.16,
ne01_teke1,550.17,2475.38,24.24,
ne01_teke2,774.04,2501.13,24.84,
ne01_tiki,371.47,2896.62,26.61,
ne01_tiki1,386.20,2843.19,37.39,
ne01_tiki2,362.73,3005.16,40.95,
ne01_toko,582.20,983.55,36.84,
ne01_toko1,445.18,1074.75,35.84,
ne01_toko2,554.47,1063.04,25.66,
ne01_tuku,423.68,1060.89,49.92,
ne01_tuku1,413.88,1072.68,40.94,
ne01_tuku2,1055.22,1618.87,45.86,
